"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2020",69870.1875,67838.2319244496,71902.1430755504,66705.3794987276,73034.9955012723
"Feb 2020",64075.5208333333,62043.5652577829,66107.4764088837,60910.712832061,67240.3288346057
"Mar 2020",69891.8541666667,67859.8985911163,71923.809742217,66727.0461653943,73056.662167939
"Apr 2020",64164.1875,62132.2319244496,66196.1430755504,60999.3794987277,67328.9955012723
"May 2020",66068.9010416666,64063.2623752625,68074.5397080708,62945.0821080869,69192.7199752463
"Jun 2020",64361.4010416667,62355.7623752625,66367.0397080708,61237.582108087,67485.2199752463
"Jul 2020",63867.6510416666,61862.0123752625,65873.2897080708,60743.832108087,66991.4699752463
"Aug 2020",65191.1510416667,63185.5123752625,67196.7897080708,62067.332108087,68314.9699752463
"Sep 2020",65387.6510416666,63382.0123752625,67393.2897080708,62263.832108087,68511.4699752463
"Oct 2020",70318.1510416667,68312.5123752625,72323.7897080708,67194.332108087,73441.9699752463
"Nov 2020",71411.6510416666,69406.0123752625,73417.2897080708,68287.832108087,74535.4699752463
"Dec 2020",73872.4010416667,71866.7623752625,75878.0397080708,70748.582108087,76996.2199752463
"Jan 2021",73433.4479166667,71328.1130520983,75538.782781235,70154.3503296347,76712.5455036986
"Feb 2021",67638.78125,65533.4463854317,69744.1161145683,64359.683662968,70917.878837032
"Mar 2021",73455.1145833333,71349.779718765,75560.4494479016,70176.0169963013,76734.2121703653
"Apr 2021",67727.4479166666,65622.1130520983,69832.782781235,64448.3503296347,71006.5455036986
"May 2021",69632.1614583333,67537.6695921941,71726.6533244725,66369.9520398218,72894.3708768447
