"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2020",46407.625,44391.4384364355,48423.8115635645,43267.3775235273,49547.8724764727
"Feb 2020",42320.9583333333,40304.7717697688,44337.1448968979,39180.7108568606,45461.2058098061
"Mar 2020",46775.2916666667,44759.1051031021,48791.4782302312,43635.0441901939,49915.5391431394
"Apr 2020",41092.2916666667,39076.1051031021,43108.4782302312,37952.0441901939,44232.5391431394
"May 2020",43393.28125,41403.2073629396,45383.3551370604,40293.7047451417,46492.8577548583
"Jun 2020",42863.78125,40873.7073629396,44853.8551370604,39764.2047451417,45963.3577548583
"Jul 2020",43739.03125,41748.9573629396,45729.1051370604,40639.4547451417,46838.6077548583
"Aug 2020",44975.28125,42985.2073629396,46965.3551370604,41875.7047451417,48074.8577548583
"Sep 2020",44152.03125,42161.9573629396,46142.1051370604,41052.4547451417,47251.6077548583
"Oct 2020",45479.28125,43489.2073629396,47469.3551370604,42379.7047451417,48578.8577548583
"Nov 2020",44382.28125,42392.2073629396,46372.3551370604,41282.7047451417,47481.8577548583
"Dec 2020",39587.28125,37597.2073629396,41577.3551370604,36487.7047451417,42686.8577548583
"Jan 2021",43813.9375,41724.941108139,45902.933891861,40560.2873832645,47067.5876167355
"Feb 2021",39727.2708333333,37638.2744414723,41816.2672251943,36473.6207165979,42980.9209500688
"Mar 2021",44181.6041666667,42092.6077748057,46270.6005585277,40927.9540499312,47435.2542834021
"Apr 2021",38498.6041666667,36409.6077748057,40587.6005585277,35244.9540499312,41752.2542834021
"May 2021",40799.59375,38721.3562093681,42877.8312906319,37562.7007409809,44036.4867590191
