,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,PercentageChange,PercentageDecrease,PercentageIncrease
20-Jan,46407.625,44391.43844,48423.81156,43267.37752,49547.87248,2.821432311,9.397178257,-3.754313635
20-Feb,42320.95833,40304.77177,44337.1449,39180.71086,45461.20581,3.004770963,10.20189114,-4.192349216
20-Mar,46775.29167,44759.1051,48791.47823,43635.04419,49915.53914,-4.722365259,2.308144472,-11.75287499
20-Apr,41092.29167,39076.1051,43108.47823,37952.04419,44232.53914,6.66570135,13.79825064,-0.466847941
20-May,43393.28125,41403.20736,45383.35514,40293.70475,46492.85775,-5.811463667,1.746635589,-13.36956292
20-Jun,42863.78125,40873.70736,44853.85514,39764.20475,45963.35775,-0.081209578,7.155887961,-7.318307116
20-Jul,43739.03125,41748.95736,45729.10514,40639.45475,46838.60775,2.67021685,9.567514308,-4.227080609
20-Aug,44975.28125,42985.20736,46965.35514,41875.70475,48074.85775,-14.87939017,-6.9622088,-22.79657153
20-Sep,44152.03125,42161.95736,46142.10514,41052.45475,47251.60775,0.336264983,7.332893738,-6.660363773
20-Oct,45479.28125,43489.20736,47469.35514,42379.70475,48578.85775,2.757635934,9.385052609,-3.869780741
20-Nov,44382.28125,42392.20736,46372.35514,41282.70475,47481.85775,3.874117411,10.58737141,-2.83913659
20-Dec,39587.28125,37597.20736,41577.35514,36487.70475,42686.85775,15.0523985,21.70356477,8.401232233
21-Jan,43813.9375,41724.94111,45902.93389,40560.28738,47067.58762,3.09223768,10.28866809,-4.104192729
21-Feb,39727.27083,37638.27444,41816.26723,36473.62072,42980.92095,7.73759067,15.29385096,0.181330384
21-Mar,44181.60417,42092.60777,46270.60056,40927.95405,47435.25428,5.271003073,12.24709681,-1.705090659
21-Apr,38498.60417,36409.60777,40587.60056,35244.95405,41752.25428,6.020739249,13.96325143,-1.921772936
21-May,40799.59375,38721.35621,42877.83129,37562.70074,44036.48676,-3.697023129,4.529925681,-11.92397194
